24278,144,4.464285714285714
24278,156,3
24278,155,5
24278,163,3
24278,161,3
24278,160,3
24278,138,3
21783,144,3
21783,156,3
21783,155,3
21783,163,4.769230769230769
21783,161,3
21783,160,3
21783,138,3
5106,144,3
5106,156,3
5106,155,3
5106,163,4.833333333333333
5106,161,3
5106,160,3
5106,138,3
18354,144,3
18354,156,3
18354,155,3
18354,163,3
18354,161,3
18354,160,3
18354,138,3
20413,144,3.2
20413,156,4.5
20413,155,3
20413,163,3
20413,161,2.9
20413,160,5
20413,138,3
12543,144,4.4
12543,156,4
12543,155,3
12543,163,3
12543,161,4.076923076923077
12543,160,3
12543,138,4.666666666666667
1076,144,4
1076,156,3
1076,155,3
1076,163,3
1076,161,4
1076,160,3
1076,138,3
25959,144,3
25959,156,3
25959,155,3
25959,163,3
25959,161,5
25959,160,3
25959,138,3
17327,144,3
17327,156,3
17327,155,3
17327,163,3
17327,161,3
17327,160,3
17327,138,2.5
16550,144,3
16550,156,4
16550,155,3
16550,163,3
16550,161,3
16550,160,3
16550,138,3
25982,144,3
25982,156,3
25982,155,3
25982,163,2
25982,161,3.3333333333333335
25982,160,3
25982,138,3
25148,144,3.6666666666666665
25148,156,3
25148,155,5
25148,163,4.5
25148,161,4.333333333333333
25148,160,3
25148,138,3
17463,144,3
17463,156,3
17463,155,3
17463,163,3
17463,161,3
17463,160,3
17463,138,3
3662,144,3
3662,156,3
3662,155,3
3662,163,3
3662,161,4.75
3662,160,3
3662,138,3
22856,144,3
22856,156,3
22856,155,3
22856,163,3
22856,161,3
22856,160,5
22856,138,3
25316,144,3
25316,156,3
25316,155,3
25316,163,3
25316,161,4.166666666666667
25316,160,3
25316,138,3
25756,144,3
25756,156,3
25756,155,3
25756,163,3
25756,161,4.6
25756,160,3
25756,138,3
9801,144,3
9801,156,3
9801,155,3
9801,163,3
9801,161,4.8
9801,160,3
9801,138,3
9802,144,3
9802,156,3
9802,155,3
9802,163,3
9802,161,4
9802,160,3
9802,138,3
23625,144,4
23625,156,3
23625,155,3
23625,163,3
23625,161,3
23625,160,3
23625,138,3
24944,144,3
24944,156,3
