"id","user_id"
1,1
533,1
651,1
858,1
861,1
19022,1
22178,1
92211,1
104462,1
307,6
359,6
364,6
365,6
409,6
410,6
413,6
415,6
683,6
743,6
1144,6
1328,6
1593,6
7257,6
7386,6
8018,6
16371,6
19173,6
19176,6
19842,6
20024,6
20025,6
20086,6
20161,6
20727,6
20886,6
20946,6
21569,6
22597,6
22814,6
22919,6
22951,6
22962,6
23013,6
23958,6
24302,6
24304,6
24306,6
24362,6
24363,6
24381,6
105755,6
249,9
565,9
566,9
21,12
31,12
63,12
64,12
65,12
72,12
73,12
75,12
76,12
79,12
80,12
81,12
82,12
83,12
84,12
86,12
89,12
107,12
108,12
109,12
121,12
122,12
123,12
125,12
135,12
151,12
279,12
280,12
283,12
285,12
287,12
289,12
290,12
291,12
309,12
316,12
327,12
342,12
344,12
345,12
348,12
373,12
401,12
404,12
411,12
412,12
414,12
428,12
429,12
430,12
437,12
438,12
451,12
452,12
453,12
454,12
455,12
489,12
490,12
491,12
517,12
522,12
523,12
524,12
525,12
13190,12
13191,12
13192,12
13193,12
13890,12
13892,12
20744,12
20751,12
22574,12
23014,12
23241,12
23991,12
28521,12
38885,12
40240,12
43014,12
60890,12
68401,12
115836,12
115837,12
26,13
407,13
408,13
433,13
508,13
544,13
548,13
564,13
657,13
788,13
933,13
959,13
1051,13
1069,13
1189,13
2720,13
2777,13
5293,13
13401,13
17100,13
17646,13
20200,13
20579,13
20890,13
20893,13
21335,13
22576,13
24313,13
28523,13
34434,13
34436,13
38254,13
58465,13
66499,13
67366,13
67367,13
72311,13
74489,13
82096,13
82181,13
82184,13
85948,13
87405,13
87419,13
89492,13
96660,13
109326,13
109328,13
17,14
964,14
968,14
979,14
1004,14
1008,14
1329,14
1330,14
1385,14
1419,14
1594,14
1651,14
2057,14
2456,14
2738,14
2739,14
4631,14
4994,14
5982,14
6390,14
11273,14
11286,14
13567,14
16491,14
16788,14
16790,14
16805,14
16807,14
16818,14
16819,14
16820,14
18170,14
19048,14
19049,14
22085,14
22579,14
22583,14
22602,14
22610,14
22954,14
24200,14
24244,14
24272,14
28424,14
28426,14
35409,14
35712,14
38155,14
39483,14
65835,14
65869,14
65870,14
65871,14
66787,14
107290,14
108577,14
108578,14
109871,14
541,16
7296,16
13547,16
15683,16
17109,16
17213,16
17607,16
18757,16
18758,16
18760,16
18789,16
18839,16
18840,16
18994,16
18995,16
19015,16
19043,16
19357,16
20053,16
35,38
106,48
110,48
111,48
271,48
272,48
275,48
281,48
360,48
405,48
406,48
754,48
755,48
782,48
783,48
832,48
865,48
889,48
991,48
992,48
1206,48
1241,48
1312,48
1325,48
1383,48
1386,48
1408,48
1482,48
1700,48
21936,51
22138,51
22290,51
22581,51
22607,51
661,52
662,52
688,52
734,52
742,52
787,52
825,52
831,52
840,52
842,52
852,52
1077,52
2522,52
5404,52
616,53
649,53
2796,53
3456,53
7350,53
7352,53
7393,53
7450,53
12998,53
14389,53
14395,53
14507,53
16176,53
16227,53
17204,53
17441,53
17876,53
17885,53
18161,53
18412,53
18414,53
18416,53
18696,53
18697,53
18698,53
19041,53
19042,53
19118,53
19218,53
19230,53
19232,53
19233,53
19288,53
19340,53
19347,53
19365,53
19591,53
20154,53
20247,53
21129,53
21159,53
22244,53
23177,53
23339,53
23430,53
23540,53
23700,53
23701,53
23708,53
23831,53
23833,53
23878,53
23915,53
24038,53
24042,53
24044,53
24045,53
24046,53
24049,53
24050,53
24052,53
24053,53
24054,53
24057,53
24065,53
24076,53
24079,53
24095,53
24187,53
24319,53
24429,53
24713,53
24839,53
24895,53
24919,53
24938,53
24992,53
24993,53
24999,53
25001,53
25378,53
25821,53
26274,53
27817,53
27940,53
27942,53
28421,53
28606,53
29183,53
29439,53
30659,53
30660,53
31915,53
34220,53
34221,53
34998,53
36587,53
37369,53
37371,53
38401,53
38402,53
38413,53
43635,53
49612,53
50800,53
61998,53
64959,53
65352,53
68166,53
75287,53
77830,53
78078,53
96043,53
96324,53
108572,53
110134,53
110225,53
110628,53
110630,53
115795,53
474,54
476,54
939,54
960,54
1646,54
1649,54
25028,54
60308,54
60316,54
60326,54
60327,54
81476,54
81671,54
96326,54
27,55
28,55
66,55
67,55
68,55
69,55
90,55
94,55
95,55
96,55
1619,56
1644,56
1645,56
3068,56
13657,56
13658,56
70547,56
479,57
624,57
961,57
971,57
973,57
22813,57
23736,57
92064,57
20,58
965,58
19987,58
20002,58
488,63
515,66
542,66
545,66
547,66
653,66
671,66
1972,66
4427,66
4498,66
5469,66
7594,66
8006,66
8228,66
8237,66
8239,66
8388,66
10812,66
10813,66
21184,66
23264,66
23456,66
23727,66
23873,66
23981,66
24554,66
24981,66
25194,66
25217,66
